source,title,price_text,area_m2,district,description,url,crawled_at
phongtro123,Cho thuê phòng full nội thất đường Hoàng Diệu trung tâm tp Đà Nẵng. Quận hải châu.,4.7 triệu/tháng,32,"Hải Châu, Đà Nẵng","Cho thuê phòng full nội thất đường Hoàng Diệu trung tâm tp Đà Nẵng. Quận hải châu. 4.7 triệu/tháng 32 m 2 Hải Châu, Đà Nẵng - Địa chỉ: 47 Hoàng Diệu, Hải Châu- Nhà mặt tiền rộng, ô tô đậu tận cửa- Gần chợ chỉ 20m, gần các trường ĐH trong bán kính 500m–1km- Phòng từ… 2 ngày trước",https://phongtro123.com/cho-thue-phong-full-noi-that-duong-hoang-dieu-trung-tam-tp-da-nang-quan-hai-chau-pr706628.html,2026-05-15T11:06:27
phongtro123,Cho thuê phòng trọ Tôn Đản full nội thất (nhà mới xây),3.3 triệu/tháng,25,"Cẩm Lệ, Đà Nẵng","Cho thuê phòng trọ Tôn Đản full nội thất (nhà mới xây) 3.3 triệu/tháng 25 m 2 Cẩm Lệ, Đà Nẵng Cho thuê phòng trọ Tôn Đản full nội thất (nhà mới xây) - 31/5 trốngĐịa chỉ: K428 Tôn Đản (nhà mới xây).- Số Phòng: 102.- Mô tả: Full nội thất… 6 ngày trước",https://phongtro123.com/cho-thue-can-ho-moi-xay-duong-ton-dan-pr706466.html,2026-05-15T11:06:27
phongtro123,"Cho thuê phòng trọ đường Trần Cao Vân, phường Xuân Hà, Thanh Khê, Đà Nẵng",2 triệu/tháng,15,"Thanh Khê, Đà Nẵng","Cho thuê phòng trọ đường Trần Cao Vân, phường Xuân Hà, Thanh Khê, Đà Nẵng 2 triệu/tháng 15 m 2 Thanh Khê, Đà Nẵng Nhà trọ tại trung tâm thành phố, có phỏng để xe máy, bếp, sân phơi,...không gian thoáng mát, an ninh, yên tĩnh, không chung chủ, giờ giấc thoải… 6 ngày trước",https://phongtro123.com/cho-thue-phong-tro-duong-tran-cao-van-phuong-xuan-ha-thanh-khe-da-nang-pr670875.html,2026-05-15T11:06:27
phongtro123,"Cho thuê phòng trọ tầng 3, diện tích 25m2",2.6 triệu/tháng,25,"Cẩm Lệ, Đà Nẵng","Cho thuê phòng trọ tầng 3, diện tích 25m2 2.6 triệu/tháng 25 m 2 Cẩm Lệ, Đà Nẵng CHÍNH CHỦ CHO THUÊ TRỌ Số 187A Phan Đăng Lưu. Đà nẵng /Zalo 0913404854 Gần ĐH Ngoại Ngữ, ĐH Kiến Trúc, Đông Á Tầng 3, diện tích 25m2 Giá 2,6tr/1… 6 ngày trước",https://phongtro123.com/cho-thue-phong-tro-tang-3-dien-tich-25m2-pr706418.html,2026-05-15T11:06:27
phongtro123,"CHO THUÊ PHÒNG TRỌ – 224 Hồ Nghinh, An Hải, Đà Nẵng",4 triệu/tháng,25,"Sơn Trà, Đà Nẵng","CHO THUÊ PHÒNG TRỌ – 224 Hồ Nghinh, An Hải, Đà Nẵng 4 triệu/tháng 25 m 2 Sơn Trà, Đà Nẵng CHO THUÊ PHÒNG TRỌ – 224 Hồ Nghinh, An Hải, Đà Nẵng Phòng 25m²• Phòng sẵn 2 giường, ở tối đa 4 người, có thể tháo 1 giường nếu muốn• Vệ sinh… 1 tuần trước",https://phongtro123.com/cho-thue-phong-tro-224-ho-nghinh-an-hai-da-nang-pr706394.html,2026-05-15T11:06:27
phongtro123,"Cho thuê phòng trọ 390/4 Hoàng Diệu, Bình Thuận, Đà Nẵng",2.7 triệu/tháng,40,"Hải Châu, Đà Nẵng","Cho thuê phòng trọ 390/4 Hoàng Diệu, Bình Thuận, Đà Nẵng 2.7 triệu/tháng 40 m 2 Hải Châu, Đà Nẵng Cho thuê phòng trọ tại 390/4 Hoàng Diệu, Đà Nẵng. Diện tích phòng 40m2. Ngăn làm 2 phòng. Có wc riêng, kệ bếp, chỗ để xe riêng (để được tối đa 2 xe).… 1 tuần trước",https://phongtro123.com/cho-thue-phong-tro-390-4-hoang-dieu-binh-thuan-da-nang-pr306359.html,2026-05-15T11:06:27
phongtro123,Căn Hộ Gia Đình Khu Nam Việt Á 64 Xuân Quỳnh,6.5 triệu/tháng,40,"Ngũ Hành Sơn, Đà Nẵng","Căn Hộ Gia Đình Khu Nam Việt Á 64 Xuân Quỳnh 6.5 triệu/tháng 40 m 2 Ngũ Hành Sơn, Đà Nẵng **CHO THUÊ STUDIO FULL NỘI THẤT – ĐƯỜNG XUÂN QUỲNH, NGŨ HÀNH SƠN** Vị trí đẹp – gần biển, gần trung tâm, khu dân cư yên tĩnh Cách biển Mỹ Khê chỉ… 1 tuần trước",https://phongtro123.com/can-ho-gia-dinh-khu-nam-viet-a-64-xuan-quynh-pr706318.html,2026-05-15T11:06:27
phongtro123,Nhà Trọ Bảo An - Phước Lý - Đại Học Duy Tân Hòa Khánh,2.8 triệu/tháng,20,"Liên Chiểu, Đà Nẵng","Nhà Trọ Bảo An - Phước Lý - Đại Học Duy Tân Hòa Khánh 2.8 triệu/tháng 20 m 2 Liên Chiểu, Đà Nẵng Nhà Trọ Bảo An - Phước Lý - Đại Học Duy Tân Hòa KhánhCăn hộ 3 tầng, thoáng mát, sạch sẽ, chất lượng cao, giờ giấc tự do, không chung chủ!Vị trí… 2 tuần trước",https://phongtro123.com/nha-tro-bao-an-phuoc-ly-dai-hoc-duy-tan-2-pr690992.html,2026-05-15T11:06:27
phongtro123,"Cho thuê phòng 25m2 đầy đủ tiện nghi gần Đường 30/4, Quảng trường 2/9",4 triệu/tháng,25,"Hải Châu, Đà Nẵng","Cho thuê phòng 25m2 đầy đủ tiện nghi gần Đường 30/4, Quảng trường 2/9 4 triệu/tháng 25 m 2 Hải Châu, Đà Nẵng Cho thuê phòng full option. 129 Nguyễn Khánh Toàn (Gần góc Phan Đăng Lưu vs Lương Nhữ Hộc)Phòng đầy đủ tiện nghi giá từ: 3.8 triệu/th. Gảm giá 5% trả 03… 2 tuần trước",https://phongtro123.com/can-ho-mini-cao-cap-full-noi-that-moi-xay-ngay-trung-tam-tp-pr677825.html,2026-05-15T11:06:27
phongtro123,Cho thuê nguyên căn mới xây (9 phòng Studio bao gồm Nội thất mới )!và cho thuê mặt bằng tầng dưới,50 triệu/tháng,100,"Hải Châu, Đà Nẵng","Cho thuê nguyên căn mới xây (9 phòng Studio bao gồm Nội thất mới )!và cho thuê mặt bằng tầng dưới 50 triệu/tháng 100 m 2 Hải Châu, Đà Nẵng NHÀ 4 TẦNG MỚI XÂY9 STUDIO CAO CẤP CÓ NỘI THẤT – CÓ THANG MÁY – MỚI 100% –NGAY TRUNG TÂM ĐÀ NẴNG- GẦN LOTTE MART- GẦN TRƯỜNG SKY-LINE Đường Nguyễn… 2 tuần trước",https://phongtro123.com/phong-tro-studio-bao-gom-noi-that-moi-xay-pr705801.html,2026-05-15T11:06:27
