ad_id,list_id,subject,price,price_string,size,area_name,ward_name,location,body,date
176038242,132350401,Cho thuê Phòng Gần Phú Mỹ An - FPT,3500000,"3,5 triệu/tháng",15,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.9852958,108.2602172","Dự án: 
Thông tin chi tiết: 🔥 PHÒNG TRỌ MỚI TOANH – FULL NỘI THẤT – DỌN VÀO Ở NGAY 🔥

❤️Diện tích phòng rộng: 15-17m2❤️

💥📍 Vị trí thuận lợi: 
💕 VÙNG TRUNG 9💕 - Phú Mỹ An 
👉 Ngay sau lưng FPT Plaza
👉 Gần ĐH FPT, Việt Hàn, Y Dược 🎓
👉 Gần chợ, siêu thị, tiện đi lại 🛒
👉 Cách biển Tân Trà ~800m 🌊
👉 Gần sông Cổ Cò – không khí mát mẻ🌿

💥💥🏠 Ưu điểm nổi bật:
💪 Phòng mới, có gác lững, ban công thoáng.!
💪 Nhà xe SIÊU rộng rãi 🛵, không chung chủ.
💪 Có sân thượng chill, 50m2, học hành, giải trí cực kì thoáng mát. 
💪 Ít phòng, yên tĩnh, như ở nhà mình..!
💪 Phòng thoáng rộng: diện tích 15m2 - 17m2. 
🛋️ Full nội thất, mới 100% , Camera an ninh, khoá vân tay...
🧺 Máy giặt 🧊 Tủ lạnh ❄️ Điều hòa
🚿 Nóng lạnh 🍳 Bếp từ, Nệm + khu bếp đầy đủ chỉ việc xách đồ vào ở

💥💥💥 💰 Giá thuê: 
👉 Phòng tầng 2&3: 3,5tr - 3,8tr/tháng
👉 Phòng mặt tiền tầng 1: 2 Phòng ngủ, – kinh doanh được: 6tr/tháng
Cọc 1, thanh toán 1.
💥💥💥💥 Chi phí rõ ràng và các hậu mãi
⚡ Điện: 3.5k/số
💧 Nước, wifi , điện sinh hoạt chung + rác: 65k/người
🔐 An ninh đảm bảo:
📹 Camera 24/7 – khu trọ an toàn, yên tĩnh
💼 Phù hợp sinh viên & người đi làm lâu dài

💥💥Đặc biệt khách đăng ky vào ở trước 20/5: Tặng 500k !!!💥💥

📞 Liên hệ ngay để được hỗ trợ:
👉 Call/Zalo: *** (Đức)",10 phút trước
176092468,132397152,Khai trương phòng trọ cao cấp - đường Tô Hiệu,4500000,"4,5 triệu/tháng",22,Quận Liên Chiểu,Phường Hòa Minh,"16.0630512,108.1658379","Khai trương phòng trọ cao cấp - Tô Hiệu
Gần DH Duy Tân cơ sở HKN
full nội thất chỉ dọn vali vào ở
giá 4tr2 - 4tr5 tùy phòng
Liên hệ ngay",27 phút trước
176083727,132389921,"Phòng trọ 20m2,ở mặt tiền Nguyễn Phước Nguyên, phường An Khê, Đà Nẵng
",3000000,3 triệu/tháng,20,Quận Thanh Khê,Phường An Khê,"16.0487665,108.1858582","Phòng trọ ở mặt tiền đường Nguyễn Phước Nguyên. Nhà vừa mới xây xong. Phòng có máy điều hòa và máy nước nóng. Có bếp và toilet riêng, có sân phơi và chỗ để xe riêng. Sử dụng nước thủy cục, điện riêng. Có gác lửng. Không ở chung với chủ. Giờ giấc đi về tự do. Gần chợ và các trường Mẫu giáo, Trung học cơ sở",38 phút trước
175050286,131505695,CĂN HỘ MINI CAO CẤP – KHÔNG GIAN SỐNG THOẢI MÁI,4500000,"4,5 triệu/tháng",25,Quận Cẩm Lệ,Phường Hòa Phát,"16.0197515,108.1965295","Dự án: 
Thông tin chi tiết: 🏠 **CĂN HỘ MINI CAO CẤP – KHÔNG GIAN SỐNG THOẢI MÁI**

📍 44 Hoàng Đạo Thuý

✨ Căn hộ mini mới 100%, thiết kế hiện đại, không gian thoáng đãng, phù hợp cho người đi làm hoặc sinh viên cần nơi ở yên tĩnh, tiện nghi.

✨Đầy đủ trang thiết bị, chỉ xách vali vào ở!

💰 Giá thuê: từ 4.5 triệu/phòng

💡 Chi phí:

* Điện: 4.000đ/kWh
* Nước: 50.000đ/người
* Wifi: 50.000đ/phòng
* Giặt sấy: 100.000đ/phòng (dùng chung)

🎁 Ưu đãi:

* Thanh toán 3 tháng + cọc 1 tháng → giảm 300.000đ/phòng

📞 Liên hệ: ***
📩 Inbox để đặt lịch xem phòng",1 giờ trước
176090522,132395447,Cho Thuê phòng tầng lửng,3200000,"3,2 triệu/tháng",20,Quận Ngũ Hành Sơn,Phường Hoà Hải,"16.0121527,108.2576523","Dự án: 
Thông tin chi tiết: Phòng còn mới, toilet phòng tắm riêng. Gần bãi biển Sơn Thuỷ cách 200m. Khu an ninh tốt, yên tĩnh sạch sẽ.",1 giờ trước
176090454,132395424,KHAI TRƯƠNG CĂN HỘ GẦN NGAY ĐH SƯ PHẠM,4500000,"4,5 triệu/tháng",30,Quận Liên Chiểu,Phường Hòa Khánh Nam,"16.0534112,108.1487964","KHAI TRƯƠNG CĂN HỘ GẦN NGAY ĐH SƯ PHẠM
Vị trí: đường Tô Hiệu
- Nội thất gồm :tủ lạnh, điều hoà, nóng lạnh, bàn ghế, kệ bếp , máy giặt chung
- Có thang máy
- Nhà xe
-Thanh toán linh hoạt 
- Giá 4tr5
",1 giờ trước
175921617,132249896,Cho thuê Phòng,3500000,"3,5 triệu/tháng",17,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.9852958,108.2602172","Dự án: 
Thông tin chi tiết: 🔥 PHÒNG MỚI XÂY 

💥📍 Vị trí thuận lợi:
Đường Vũng Trung, Sau lưng FPT Plaza
✨ Phòng mới, sạch đẹp, ban công thoáng ,
Có gác lững. Nhà xe siêu rộng rãi 🛵🛵
🛋️ Full nội thất , diện tích 15m2 - 17m2.

💥💰 Giá thuê: 
👉 từ 3,5 - 3,8 triệu/tháng tuỳ phòng. 
⚡ Điện: 3.5k/số
💧 Nước + rác, điện chung, nét: 65k/ng

📞  Call/Zalo: ***",2 giờ trước
176044832,132356355,cho thuê căn hộ Full nội thất,5500000,"5,5 triệu/tháng",45,Quận Sơn Trà,Phường Nại Hiên Đông,"16.1001118,108.2288552","cho thuê căn hộ cao cấp full nội thất tại 111 đường Chu Huy Mân .vị trí siêu đẹp ,phòng rộng ,có ban công ,gần biển ,gần siêu thị ,gần chợ hải sản , trường học , phòng thoáng mát . nhận nhà ngay hôm nay .",3 giờ trước
176068044,132376158,Cho thuê nhà 35m2 góc đường Tân Thái 1 và 2,5000000,5 triệu/tháng,35,Quận Sơn Trà,Phường Mân Thái,"16.0872462,108.2466488","Phòng đẹp mặt phố Tân Thái 2 diện tích 35m2 khép kín có ĐH, NL phù hợp làm vp, cửa hàng nhỏ hoặc ở không quá 2 người. Nhà gần biển thoáng mát, yên tĩnh, sạch sẽ, dân trí cao. Điện nước tính theo đồng hồ.  LH Trang ***",4 giờ trước
176087282,132392507,phòng trọ Lê Độ,1500000,"1,5 triệu/tháng",15,Quận Thanh Khê,Phường Chính Gián,"16.0660161,108.2021971","Dự án: 
Thông tin chi tiết: phòng nhỏ, nvs chung, thích hợp 1 người ở 
ngay trung tâm thành phố, đầy đủ tiện ích xung quanh",10 giờ trước
