source,title,price,price_text,area_m2,district,ward,address,description,posted_at,url,crawled_at
nhatot,"CHO THUÊ PHÒNG MỚI XÂY KHU VỰC NGŨ HÀNH SƠN GẦN  LÀNG ĐH FPT, GIÁ 2TR",2000000,2 triệu/tháng,25,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.986558,108.2674092","CHO THUÊ PHÒNG MỚI XÂY KHU VỰC NGŨ HÀNH SƠN, GIÁ 2TR - 2TR5

- Vị trí: Đường Huỳnh Văn Nghệ, Phường Hòa Hải, Ngũ Hành Sơn, Đà Nẵng.

+) Gần các trường học như FPT Software Academy, Đại học Mỹ tại Việt Nam  (AUV) , Việt - Hàn, Y Dược.., Trường mầm non Thế giới toàn cầu.
+) Khu vực yên tĩnh, không khí trong lành

- Tiện Ích xung quanh:
+) Gần chợ, các siêu thị tiện ích xung quanh
+) Gần các trung tâm đào tạo và trường học.
+) Dễ dàng di chuyển đến các khu vực lân cận và các tiện ích khác",1 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/131779125,2026-05-14T16:52:22
nhatot,Cho thuê trọ 40m2 giá 2tr/tháng,2000000,2 triệu/tháng,40,Quận Ngũ Hành Sơn,Phường Khuê Mỹ,"16.0152713,108.2555307","O͟9͟4͟8͟.O͟1͟.3͟O͟O͟O͟Cần cho thuê trọ đường Sơn Thủy Đông 1
Trọ 40m2 phía sau có vườn rau rộng
Có gác lửng
Phù hợp ở gia đình
Giá 2tr/tháng
Cọc 1 thanh toán 6
Điện nước theo giá nhà nước
Lối đi riêng biệt, xe để trong nhà vô tư
Xem nhà",1 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132384212,2026-05-14T16:52:22
nhatot,"Cho thuê phòng ở, tầng 2, mặt tiền Hoàng Hoa thám, T.khê, Đà nẵng",4000000,4 triệu/tháng,25,Quận Thanh Khê,Phường Tân Chính,"16.0699425,108.2103213","Cho thuê phòng ở (23-25) m2, tầng 2, nhà mặt tiền Hoàng Hoa Thám; với Nam, độc thân, là CBNV, sinh viên...  Tối đa 02 người. Nội thất trống. 4 tr.đ/ tháng; Cọc (01-02) tháng, theo thời gian thuê; Thanh toán 03 tháng. LH: ĐT/ Zalo: ***.",3 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132381628,2026-05-14T16:52:22
nhatot,"Phòng trọ cao cấp, Thang Máy K78/2B Lê Thanh Nghị",3400000,"3,4 triệu/tháng",28,Quận Hải Châu,Phường Hòa Cường Bắc,"16.0445693,108.2172955","Cơ sở 1: K72/12 Lê Cơ
Cơ sở 2: K78/2B Lê Thanh Nghị
Cơ sở 3: K146/11 Ỷ Lan Nguyên Phi
Ba cơ sở cách nhau 400m. 
Vị trí trung tâm thành phố gần Chợ Đầu Mối, Chợ Hòa Cường, Chợ Nguyễn Tri Phương, gần trường ĐH Đông Á, ĐH Kiến Trúc, ĐH Ngoại Ngữ, ĐH Duy Tân , CĐ Bách Khoa,CĐ Phương Đông v..v.. 
Đường kiệt ô tô vô đến cổng nhà
++++++++Phòng được trang bị
# Điều Hòa
# Máy tắm nước nóng
# THANG MÁY (cs2 và cs3)
# BÃI ĐỂ XE rộng rãi + Camera an ninh + ra vào vân tay  24/7
# Toilet và sân phơi cá nhân khép kín trong phòng.
# Đồng hồ điện và nước riêng biệt
# Hệ thống PCCC đảm bảo theo quy định.
++++++ Tiện ích đặc biệt
# Wifi 6 siêu mạnh 
# Hỗ trợ giặt free và giặt + sấy 7k/kg đối với nội bộ
# Trang bị nguồn điện dự phòng trong trường hợp mất điện",3 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/129718363,2026-05-14T16:52:22
nhatot,cho thuê phòng,4500000,"4,5 triệu/tháng",25,Quận Thanh Khê,Phường Vĩnh Trung,"16.0600634,108.2135488","Dự án: 
Thông tin chi tiết: Cho thuê phòng cao cập nội thất, gần cho bigC, bệnh viện, trươgf đaik hịc cũng, nô ở yên tĩnh , an ninh toits
phòng 3,500,000  cũng có .",5 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132187325,2026-05-14T16:52:22
nhatot,Cho thuê Phòng Gần Phú Mỹ An - FPT,3500000,"3,5 triệu/tháng",15,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.9852958,108.2602172","Dự án: 
Thông tin chi tiết: 🔥 PHÒNG TRỌ MỚI TOANH – FULL NỘI THẤT – DỌN VÀO Ở NGAY 🔥

❤️Diện tích phòng rộng: 15-17m2❤️

💥📍 Vị trí thuận lợi: 
💕 VÙNG TRUNG 9💕 - Phú Mỹ An 
👉 Ngay sau lưng FPT Plaza
👉 Gần ĐH FPT, Việt Hàn, Y Dược 🎓
👉 Gần chợ, siêu thị, tiện đi lại 🛒
👉 Cách biển Tân Trà ~800m 🌊
👉 Gần sông Cổ Cò – không khí mát mẻ🌿

💥💥🏠 Ưu điểm nổi bật:
💪 Phòng mới, có gác lững, ban công thoáng.!
💪 Nhà xe SIÊU rộng rãi 🛵, không chung chủ.
💪 Có sân thượng chill, 50m2, học hành, giải trí cực kì thoáng mát. 
💪 Ít phòng, yên tĩnh, như ở nhà mình..!
💪 Phòng thoáng rộng: diện tích 15m2 - 17m2. 
🛋️ Full nội thất, mới 100% , Camera an ninh, khoá vân tay...
🧺 Máy giặt 🧊 Tủ lạnh ❄️ Điều hòa
🚿 Nóng lạnh 🍳 Bếp từ, Nệm + khu bếp đầy đủ chỉ việc xách đồ vào ở

💥💥💥 💰 Giá thuê: 
👉 Phòng tầng 2&3: 3,5tr - 3,8tr/tháng
👉 Phòng mặt tiền tầng 1: 2 Phòng ngủ, – kinh doanh được: 6tr/tháng
Cọc 1, thanh toán 1.
💥💥💥💥 Chi phí rõ ràng và các hậu mãi
⚡ Điện: 3.5k/số
💧 Nước, wifi , điện sinh hoạt chung + rác: 65k/người
🔐 An ninh đảm bảo:
📹 Camera 24/7 – khu trọ an toàn, yên tĩnh
💼 Phù hợp sinh viên & người đi làm lâu dài

💥💥Đặc biệt khách đăng ky vào ở trước 20/5: Tặng 500k !!!💥💥

📞 Liên hệ ngay để được hỗ trợ:
👉 Call/Zalo: *** (Đức)",6 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132350401,2026-05-14T16:52:22
nhatot,Cho thuê nhà 35m2 góc đường Tân Thái 1 và 2,5000000,5 triệu/tháng,35,Quận Sơn Trà,Phường Mân Thái,"16.0872462,108.2466488","Phòng đẹp mặt phố Tân Thái 2 diện tích 35m2 khép kín có ĐH, NL phù hợp làm vp, cửa hàng nhỏ hoặc ở không quá 2 người. Nhà gần biển thoáng mát, yên tĩnh, sạch sẽ, dân trí cao. Điện nước tính theo đồng hồ.  LH Trang ***",7 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132376158,2026-05-14T16:52:22
nhatot,CĂN HỘ MINI CAO CẤP – KHÔNG GIAN SỐNG THOẢI MÁI,4500000,"4,5 triệu/tháng",25,Quận Cẩm Lệ,Phường Hòa Phát,"16.0197515,108.1965295","Dự án: 
Thông tin chi tiết: 🏠 **CĂN HỘ MINI CAO CẤP – KHÔNG GIAN SỐNG THOẢI MÁI**

📍 44 Hoàng Đạo Thuý

✨ Căn hộ mini mới 100%, thiết kế hiện đại, không gian thoáng đãng, phù hợp cho người đi làm hoặc sinh viên cần nơi ở yên tĩnh, tiện nghi.

✨Đầy đủ trang thiết bị, chỉ xách vali vào ở!

💰 Giá thuê: từ 4.5 triệu/phòng

💡 Chi phí:

* Điện: 4.000đ/kWh
* Nước: 50.000đ/người
* Wifi: 50.000đ/phòng
* Giặt sấy: 100.000đ/phòng (dùng chung)

🎁 Ưu đãi:

* Thanh toán 3 tháng + cọc 1 tháng → giảm 300.000đ/phòng

📞 Liên hệ: ***
📩 Inbox để đặt lịch xem phòng",7 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/131505695,2026-05-14T16:52:22
nhatot,Cho thuê Phòng,3500000,"3,5 triệu/tháng",17,Quận Ngũ Hành Sơn,Phường Hoà Hải,"15.9852958,108.2602172","Dự án: 
Thông tin chi tiết: 🔥 PHÒNG MỚI XÂY 

💥📍 Vị trí thuận lợi:
Đường Vũng Trung, Sau lưng FPT Plaza
✨ Phòng mới, sạch đẹp, ban công thoáng ,
Có gác lững. Nhà xe siêu rộng rãi 🛵🛵
🛋️ Full nội thất , diện tích 15m2 - 17m2.

💥💰 Giá thuê: 
👉 từ 3,5 - 3,8 triệu/tháng tuỳ phòng. 
⚡ Điện: 3.5k/số
💧 Nước + rác, điện chung, nét: 65k/ng

📞  Call/Zalo: ***",8 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132249896,2026-05-14T16:52:22
nhatot,cho thuê căn hộ Full nội thất,6000000,6 triệu/tháng,45,Quận Sơn Trà,Phường Nại Hiên Đông,"16.1001118,108.2288552","cho thuê căn hộ cao cấp full nội thất tại 111 đường Chu Huy Mân .vị trí siêu đẹp ,phòng rộng ,có ban công ,gần biển ,gần siêu thị ,gần chợ hải sản , trường học , phòng thoáng mát . nhận nhà ngay hôm nay .",8 giờ trước,https://gateway.chotot.com/v1/public/ad-listing/132356355,2026-05-14T16:52:22
